name,complate_name,perimeter
0725-d_Ant_d,MJ02.0725-d_Ant_d,4565.9549
0726-d_Ant_d,MJ02.0726-d_Ant_d,4595.8817
0735-d_Ant_g,MJ02.0735-d_Ant_g,4447.3519
0736-d_Ant_g,MJ02.0736-d_Ant_g,4727.6391
0738-d_Ant_g,MJ02.0738-d_Ant_g,4885.6046
0739-d_Ant_g,MJ02.0739-d_Ant_g,4824.5407
0740-d_Ant_d,MJ02.0740-d_Ant_d,4155.4726
0742-d_Ant_d,MJ02.0742-d_Ant_d,4809.4452
0755-d_Ant_d,MJ02.0755-d_Ant_d,4665.2442
0759-d_Ant_g,MJ02.0759-d_Ant_g,4889.026
0760-d_Ant_d,MJ02.0760-d_Ant_d,4634.7102
0771-d_Ant_d,MJ02.0771-d_Ant_d,4658.3325
0772-d_Ant_d,MJ02.0772-d_Ant_d,4974.2737
0773-d_Ant_d,MJ02.0773-d_Ant_d,4714.0239
0788-d_Ant_d,MJ02.0788-d_Ant_d,4648.3498
0789-d_Ant_d,MJ02.0789-d_Ant_d,4617.428
0790-d_Ant_d,MJ02.0790-d_Ant_d,4908.3569
0791-d_Ant_d,MJ02.0791-d_Ant_d,4969.8788
0792-d_Ant_g,MJ02.0792-d_Ant_g,4665.7224
0804-d_Ant_d,MJ02.0804-d_Ant_d,4860.4503
0814-d_Ant_d,MJ02.0814-d_Ant_d,5104.097
0815-d_Ant_d,MJ02.0815-d_Ant_d,4853.563
0823-d_Ant_d,MJ02.0823-d_Ant_d,5116.4057
0824-d_Ant_d,MJ02.0824-d_Ant_d,4827.0777
0840-d_Ant_g,MJ02.0840-d_Ant_g,4896.7346
0841-d_Ant_d,MJ02.0841-d_Ant_d,4619.6462
0842-d_Ant_g,MJ02.0842-d_Ant_g,4819.1854
0843-d_Ant_g,MJ02.0843-d_Ant_g,4563.2371
0844-d_Ant_d,MJ02.0844-d_Ant_d,4863.8645
0851-d_Ant_g,MJ02.0851-d_Ant_g,4776.5924
0875-d_Ant_g,MJ02.0875-d_Ant_g,4846.4675
0876-d_Ant_g,MJ02.0876-d_Ant_g,4754.2808
0877-d_Ant_g,MJ02.0877-d_Ant_g,4945.2026
0878-d_Ant_g,MJ02.0878-d_Ant_g,4906.3641
0899-d_Ant_g,MJ02.0899-d_Ant_g,4752.2421
0900-d_Ant_g,MJ02.0900-d_Ant_g,4669.1437
0910-d_Ant_d,MJ02.0910-d_Ant_d,4678.8351
0911-d_Ant_g,MJ02.0911-d_Ant_g,4843.227
0912-d_Ant_d,MJ02.0912-d_Ant_d,4705.2514
0920-d_Ant_d,MJ02.0920-d_Ant_d,4637.497
0921-d_Ant_g,MJ02.0921-d_Ant_g,4524.4747
0927-d_Ant_d,MJ02.0927-d_Ant_d,4822.9427
0928-d_Ant_d,MJ02.0928-d_Ant_d,4839.0676
0929-d_Ant_d,MJ02.0929-d_Ant_d,4954.4747
0930-d_Ant_d,MJ02.0930-d_Ant_d,4976.9011
0931-d_Ant_d,MJ02.0931-d_Ant_d,4879.9061
0932-d_Ant_d,MJ02.0932-d_Ant_d,4607.6879
0933-d_Ant_d,MJ02.0933-d_Ant_d,4955.4768
0937-d_Ant_d,MJ02.0937-d_Ant_d,4904.3986
0938-d_Ant_d,MJ02.0938-d_Ant_d,4872.1387
0939-d_Ant_d,MJ02.0939-d_Ant_d,4760.7417
0953-d_Ant_d,MJ02.0953-d_Ant_d,4777.8229
0959-d_Ant_g,MJ02.0959-d_Ant_g,4803.4208
0960-d_Ant_g,MJ02.0960-d_Ant_g,4643.2442
0961-d_Ant_g,MJ02.0961-d_Ant_g,4730.9528
0962-d_Ant_g,MJ02.0962-d_Ant_g,4680.4158
0971-d_Ant_g,MJ02.0971-d_Ant_g,4607.6046
0972-d_Ant_g,MJ02.0972-d_Ant_g,4687.1955
0973-d_Ant_d,MJ02.0973-d_Ant_d,4899.4107
0974-d_Ant_g,MJ02.0974-d_Ant_g,4793.764
0981-d_Ant_g,MJ02.0981-d_Ant_g,4719.0605
0982-d_Ant_g,MJ02.0982-d_Ant_g,4574.9183
0988-d_Ant_g,MJ02.0988-d_Ant_g,4766.298
0989-d_Ant_g,MJ02.0989-d_Ant_g,4452.5407
0990-d_Ant_g,MJ02.0990-d_Ant_g,5096.2808
0991-d_Ant_d,MJ02.0991-d_Ant_d,4869.3031
0995-d_Ant_d,MJ02.0995-d_Ant_d,4980.4747
0996-d_Ant_g,MJ02.0996-d_Ant_g,5159.2341
0998-d_Ant_d,MJ02.0998-d_Ant_d,4885.7539
0999-d_Ant_g,MJ02.0999-d_Ant_g,4969.4107
1000-d_Ant_g,MJ02.1000-d_Ant_g,4836.7346
1016-d_Ant_g,MJ02.1016-d_Ant_g,4751.563
1017-d_Ant_d,MJ02.1017-d_Ant_d,4898.4229
1018-d_Ant_d,MJ02.1018-d_Ant_d,5005.9377
1019-d_Ant_g,MJ02.1019-d_Ant_g,4891.5529
1020-d_Ant_g,MJ02.1020-d_Ant_g,4934.7488
1028-d_Ant_g,MJ02.1028-d_Ant_g,4912.6757
1029-d_Ant_g,MJ02.1029-d_Ant_g,4914.9011
1030-d_Ant_d,MJ02.1030-d_Ant_d,4785.2543
1036-d_Ant_g,MJ02.1036-d_Ant_g,4654.8767
1037-d_Ant_g,MJ02.1037-d_Ant_g,4735.4208
1052-d_Ant_g,MJ02.1052-d_Ant_g,4949.83
